i	sha	prompt_len	output_len
183	512ffe7a6960e7e7	22	256
184	c7efbb034f245ac1	96	256
185	c1d678fce9a39c06	608	256
186	3cfd7c8680982dc7	10	256
187	16cf7ae1686e48d6	9	256
188	8cae947b581d6be2	39	256
189	ad3304ad237848bf	34	256
190	7adc5cea8af19dfd	12	256
191	695df295c625ae9c	693	256
192	e673e7105abb7716	670	256
193	3fda51aba7bf5d07	63	256
194	f5b3e88f74e8c0f4	39	256
195	7e774e562da6bdc7	628	256
196	c640d6f5e3942afb	48	256
197	54cf15adfe7f1a9d	12	256
198	0aff272c1178c534	620	256
199	8ca85fb5f7c554c5	823	256
200	080675833c6d9ea2	87	256
201	253bbdf67e9020a3	11	256
202	f3bb8e83ae48fbac	726	256
203	ee066621d3818cea	722	256
204	da8bb61093eb8124	13	256
205	0d5bf73514e9adcf	65	256
206	cf1a75f8084ff039	353	256
207	fcc5e78359996a78	44	256
208	fb0bf82b196ca00a	1481	256
209	5d1eb30cf452dfeb	734	256
210	bc3aa78e26a0f2e3	9	256
211	a96bea04e6d93f0a	32	256
212	5cebe7049ddf3e70	40	256
213	c66263a3b60cf713	336	256
214	efa49c20170fa288	11	256
215	c689db0522c75b44	26	256
216	9bb572c33ff3564b	655	256
217	173f90df78959b35	264	256
218	9672cee96aed4636	18	256
219	c9daf95ba766d43f	33	256
220	dd96de9ead08fc07	637	256
221	d2e5742a32ae0c34	66	256
222	6237849ebe4d7fee	759	256
223	be29841b4c47088d	508	256
224	d20ee9dfb5e93c08	53	256
225	ed68faaaffa62768	663	256
226	7414da56784755b2	64	256
227	922a7ae788281050	17	256
228	f4e58b175082d8d6	11	256
229	3258feef9b749a6b	22	256
230	43a4236b55ac5c77	703	256
231	53b2e43627a40e3e	67	256
232	ab8dc3a9e0b031f0	105	256
233	98cc3a2edfff4002	536	256
234	346a0175b84f9b99	34	256
235	7f347584b3236d66	19	256
236	867e92256f6821d3	1340	256
237	9ac6c0d33c1ce0a1	55	256
238	89a0197c1c4c800a	23	256
239	fed9b6e20c854469	45	256
240	f8fc73f303ad37ca	29	256
241	f5fad860fb5529fa	590	256
242	e8b8f6e3ee518b12	9	256
243	64c35abdb84e9ba8	76	256
244	4d97216c3284af6a	660	256
245	d8988ba548f3b16b	42	256
246	8b4000db66497a97	14	256
247	8442b01bf873cb62	41	256
248	2a7f5462e4b8fd0c	56	256
249	1c0a1d69e6c71a66	41	256
250	d6127e25bd379fb9	34	256
251	db1e510bb3fc5ff1	35	256
252	322151bfe92f7666	39	256
253	4d6a93998962557a	797	256
254	318202f2402349ca	30	256
255	b1e7e2abe7dffb69	12	256
256	a0a9019b6bede916	65	256
257	fec4e316e3ccd37e	1255	256
258	e5f03336252547ff	41	256
259	54d5184b3c4e1725	56	256
260	f5990159bcf5060b	45	256
261	e3e3c640bd6996ce	700	256
262	4fe6acf0868e4e6b	720	256
263	54fc87a58642b969	32	256
264	7ffa0e1ca2092e01	24	256
265	eaf9f856e757be50	829	256
266	53a273409f3b69f8	26	256
267	a0ef49d3b3557a6d	629	256
268	20765837ba410a26	895	256
269	444dd5492bbb7638	46	256
270	d432cbf5f20241b5	44	256
271	b5ec8d6f90a27651	139	256
272	165cf68a9c90b9a0	114	256
273	5c881696c9d34f26	33	256
274	28342f18eec5a305	10	256
275	d15bd7585e40b86f	723	256
276	14f2ae1335e4d2f1	11	256
277	e75d2011f7dc66d8	45	256
278	c2604cc9bca16abc	13	256
279	26702808f44a4863	9	256
280	2ebeb78e7cd65e15	745	256
281	7d3dfc42f419a9f1	770	256
282	1e4d511937b07f53	11	256
283	09611f03a9663025	42	256
284	d046b476e642dfbd	52	256
285	6a78f94c7e7288ab	418	256
286	be68b37a36fe8f35	905	256
287	b8b9bfd39eb0e30c	38	256
288	2bf8ddb006a59c16	20	256
289	74af2bd9883352e7	696	256
290	0246c431c39aa335	83	256
291	912e4d5a0315ec9d	57	256
292	1f4f3ad1bce00144	696	256
293	cf153c45ee466544	1118	256
294	98d9ed4ec86efac2	780	256
295	0a2d06902f6e33d2	12	256
296	7810cb6f7d1e2ec7	51	256
297	bb3b59ed4e6f3c3d	49	256
298	7faf1e458214f0e4	11	256
299	085cbfbeadb60f22	11	256
300	f592e2d50986bf56	103	256
301	1ad2619152d768f4	19	256
302	c1e6ffe9df2fd711	50	256
303	ab2022973dc4879e	39	256
304	ab81f97ad54bf212	736	256
305	502108bc20b19da0	757	256
306	738f3e641810ffc1	54	256
307	d18b9076e6d7a4d2	35	256
308	5e3558b25d76f2c7	43	256
309	bbaf8ef410103f0e	81	256
310	f1508e1a919ad33c	73	256
311	5e272f343ad926d1	40	256
312	c20a4f9849a6f132	91	256
313	be7006857c39bab8	780	256
314	081f7a29a59c9ed3	39	256
315	f32643e81c5d3531	10	256
316	65f81c3c0eb2278f	10	256
317	b16eb1dd0053d6e5	19	256
318	dd298e40caaedd10	41	256
319	3067e64e0ccf8de2	22	256
320	65766090519322c0	840	256
321	3d5f25db64e255fe	674	256
322	f8a22f2dfe1a6eeb	381	256
323	3ffaf0e0f72baad2	64	256
324	8afd62baa1454bf5	29	256
325	2ba243b2f0a76d71	582	256
326	ec30a1c773343920	19	256
327	053f45e769c518be	48	256
328	ad8ee3db0e3166e7	44	256
329	daf4cfe33393c0e3	41	256
330	7f6906af98e73334	752	256
331	0b48e355a02a0223	693	256
332	febdfddb5183c5fd	688	256
333	1a93ae062315cbef	41	256
334	b866278ee09d8942	56	256
335	f99f46365b9a80db	11	256
336	623dab393b09f0a6	343	256
337	e7e7dbd2098dd62c	640	256
338	65a977a9b6338cb3	662	256
339	a3b0c09e78ad52e5	27	256
340	5dea4383a9d3911c	535	256
341	6b3e7528587eb18a	68	256
342	ce589ecfd3ab0f3d	59	256
343	a512387c0eac923b	842	256
344	b536f4a0c797e344	1105	256
345	ffc18b712a05ce5d	41	256
346	7ea06b91a468481b	9	256
347	9db7ba60f23fd0a5	1488	256
348	0eba431b104d308d	12	256
349	34143c2ccc176c99	71	256
350	25d34d138f149825	20	256
351	b0d4a924c89bcaaf	29	256
352	28837f9d997fa9f5	12	256
353	4c551923c6523aef	21	256
354	8dde3fe88e182e59	11	256
355	5f7d34dd0fa514ce	668	256
356	d3419c8269cdb946	58	256
357	26e481674e081f33	699	256
358	d2b09f67afbc63f9	76	256
359	c21f18c9581ea0e4	51	256
360	68b2a4c9d0552dee	12	256
361	4dd9a1e802915aa8	62	256
362	7df75d2b68107df9	83	256
363	14ca62f75b766407	28	256
364	3def50bbb551b2b7	21	256
365	ff7eaf15eb9cfec1	10	256
366	9dc22ff1615fca9d	733	256
367	df0b27fa9460122f	40	256
368	41bff678edb0df0c	628	256
369	ed5a6d6d2e7cee15	73	256
370	15f0da6d8f7d3eaf	27	256
371	4a48e8a1e4ff36bb	34	256
372	80f2f6fc2e22f46b	17	256
373	f5fb66fa091a816a	28	256
374	30089d7235fecd2a	28	256
375	d6f5cbcda2e4fe35	10	256
376	846ce1bd9fe82679	583	256
377	72b16de248ae904c	776	256
378	77283a6a7809cf37	10	256
379	20811de87227a172	27	256
380	abf91420c1b19f4b	440	256
381	6a2b8a55bf8115c9	13	256
382	13e85f12215d0c39	11	256
383	68cfb0ca6d375e0f	672	256
384	94216a64dece6efd	708	256
385	6b27fec4682d8876	690	256
386	31a646b670b374d3	9	256
387	050a533460c752aa	712	256
388	59fc66b19102ecf3	781	256
389	bb257b8d5acaedcf	19	256
390	03b3a2c19106cbf6	746	256
391	ab59c89fa014c5b3	35	256
392	5ffe92191b253ed0	721	256
393	c03b271c1ee22473	62	256
394	d520991bf53d10b5	260	256
395	8617ee45e56a6da6	11	256
396	063e46743ba4defb	14	256
397	a3a80f1a4c195e8a	860	256
398	e016253b88179f0a	14	256
399	b0d00557d9f81c20	23	256
400	ea29d15d747ff4d0	572	256
401	6e7949a6b23cbb67	11	256
402	435ccc69ff8f130a	26	256
403	f43b30d337f8b193	84	256
404	d7350f51da79b667	35	256
405	30fc4cd0c6c745f1	11	256
406	33d63ee1332e00ac	54	256
407	0605a0ea5bfc7f2a	69	256
408	47b735fe8b26993e	36	256
409	a349a3e039f553d8	676	256
410	e58b6a64fa1d71fc	697	256
411	6855ee25a658829c	37	256
412	70025225d72c28e3	289	256
413	6308e3f81f44f737	14	256
414	25a3b9951b67cfc2	11	256
415	ae0703a93d5816aa	22	256
416	adda018a8588695c	55	256
417	d569f63306f91b99	113	256
418	e673160e757d85da	728	256
419	ef1ad0026d6756d7	27	256
420	1921e19210a2116f	1031	256
421	ad6ac817d85d7f01	30	256
422	025b3dacf7dba9b1	39	256
423	2b4f2c7b895c7d3f	30	256
424	e7846ffd207a9e54	18	256
425	e42c9b29e387a05e	764	256
426	cd3cca8d6520588a	51	256
427	9a0bd35a90558c7f	44	256
428	67e0e985a6bdfa7c	12	256
429	d2e9c100152e6dd6	442	256
430	d1d8cbbdbe2c7128	762	256
431	4b0fd58f2c201adf	12	256
432	9df41c39b83d7330	30	256
433	941d3e9751cc05b9	45	256
434	88408d2cd9f6b064	12	256
435	c4bb6a3f576afaae	632	256
436	fe404e83a6ee0822	652	256
437	df1ab8d425bde691	531	256
438	c45ee4acb8d48983	203	256
439	46e9104f23ab9da7	9	256
440	ac5fd0f910a4a36d	14	256
441	c73fa057c8a23730	427	256
442	ebbfda57ab251b5b	41	256
443	0bca0611917fcb14	691	256
444	0d01dbdf5c74cdd2	30	256
445	29949a568dcecd61	72	256
446	9e783d22b2e8935b	176	256
447	f4858b13f819cc02	17	256
448	91c72372944681e5	21	256
449	3e0f9fba4ac04fdf	14	256
450	ec48534693752074	684	256
451	069f6cd31d89a97c	54	256
452	db9a4450618de220	11	256
453	a2074b6cc2d7ce52	24	256
454	ff86461bbbaf1983	781	256
455	56d15d7e85107a24	9	256
456	533213b2d7dbfa9d	33	256
457	95bbb52fb63157bb	48	256
458	0eb6accf4523050e	671	256
459	0552d7d0eb0c89ac	68	256
460	a7dc98ca396793ab	14	256
461	c85323484b8fe59c	16	256
462	a492cb13ab9fd932	18	256
463	4a2766770c42fefe	685	256
464	e08f64029ba90386	9	256
465	b0ce9246067beebf	963	256
466	ba79332a44d56a28	10	256
467	7663373a53115916	32	256
468	7526e2d690ee8047	731	256
469	57f149c0b2e3af3a	714	256
470	f17b4da15bbc9bf1	1438	256
471	6cb08a6b54895d7e	9	256
472	e33ac7d203d01b4e	13	256
473	46e1a2ed8b11c979	37	256
474	d9a7459b89240f10	38	256
475	af8a5e2d4d6a5909	823	256
476	d9a908b9d0635d49	697	256
477	fb3b58905ee0abc1	42	256
478	00af036e9d9d19cc	1013	256
479	d10d2725b8e21992	709	256
